Global Time,Time,Motor 0 Position,Motor 1 Position,Motor 0 Torque,Motor 1 Torque
2024-11-26 19:57:57.846333,8.890001481631771e-07,0.027038559317588806,0.01592952013015747,0.0062592667527496815,0.0015529005322605371
2024-11-26 19:57:57.849176,0.0032675040001777234,0.027038559317588806,0.01593679189682007,1.0054658651351929,1.109775424003601
2024-11-26 19:57:57.851704,0.006004446000588359,0.027063414454460144,0.01685965061187744,1.6478558778762817,1.498130440711975
2024-11-26 19:57:57.854236,0.008563570000660548,0.0270528644323349,0.019989967346191406,1.7665443420410156,1.5094842910766602
2024-11-26 19:57:57.856880,0.011049842000829813,0.02877521514892578,0.025615274906158447,1.6527578830718994,1.461284875869751
2024-11-26 19:57:57.859317,0.013690486000086821,0.03562416136264801,0.03306448459625244,1.7119745016098022,1.4980061054229736
2024-11-26 19:57:57.862238,0.016116091000185406,0.04495120048522949,0.042980313301086426,1.6723366975784302,1.5415947437286377
2024-11-26 19:57:57.865170,0.01918064800065622,0.05732671916484833,0.05424124002456665,1.8278974294662476,1.5316321849822998
2024-11-26 19:57:57.867786,0.022056813000745024,0.0691259354352951,0.06739658117294312,1.6028969287872314,1.561496376991272
2024-11-26 19:57:57.870632,0.024715772000490688,0.08217877149581909,0.08154451847076416,1.6212979555130005,1.6023964881896973
2024-11-26 19:57:57.873186,0.027415566000854596,0.097419872879982,0.09654682874679565,1.5894241333007812,1.570982813835144
2024-11-26 19:57:57.876225,0.030087080000157584,0.11171349883079529,0.11186879873275757,1.7736667394638062,1.5450966358184814
2024-11-26 19:57:57.879226,0.03307041400057642,0.12830579280853271,0.12986135482788086,1.6131662130355835,1.58002769947052
2024-11-26 19:57:57.882705,0.03642619700076466,0.14930647611618042,0.15292805433273315,2.0692014694213867,1.5950117111206055
2024-11-26 19:57:57.885554,0.03966186700017715,0.1697952151298523,0.17520397901535034,1.9183629751205444,1.5604608058929443
2024-11-26 19:57:57.888440,0.04244829100025527,0.18795859813690186,0.19641882181167603,2.054713487625122,1.563190221786499
2024-11-26 19:57:57.891510,0.045366698000179895,0.2099265158176422,0.22278809547424316,1.5891457796096802,1.331221580505371
2024-11-26 19:57:57.895296,0.048373772000559256,0.2353840470314026,0.2524195909500122,0.812910795211792,-0.007740822620689869
2024-11-26 19:57:57.898137,0.052180320000843494,0.26823338866233826,0.2867058515548706,-0.04238714277744293,-0.9351205229759216
2024-11-26 19:57:57.901138,0.05501707800067379,0.2967548370361328,0.31823205947875977,-1.1973485946655273,-1.7018001079559326
2024-11-26 19:57:57.903947,0.058050134000041,0.32653215527534485,0.34714847803115845,-1.768444538116455,-1.5837022066116333
2024-11-26 19:57:57.906891,0.06103257900031167,0.3547624945640564,0.37658798694610596,-1.7074819803237915,-1.5629726648330688
2024-11-26 19:57:57.909914,0.0637645020005948,0.37741953134536743,0.4008524417877197,-1.7154858112335205,-1.5629726648330688
2024-11-26 19:57:57.912685,0.0668002250004065,0.39730334281921387,0.3961193263530731,-0.937953531742096,-1.5629726648330688
2024-11-26 19:57:57.915501,0.06957013000010193,0.3991648554801941,0.39354997873306274,-1.8221732378005981,-1.5629726648330688
2024-11-26 19:57:57.918254,0.0723688130001392,0.3990354537963867,0.38386714458465576,-1.522202491760254,-1.5629726648330688
2024-11-26 19:57:57.921127,0.0751215880000018,0.3988502025604248,0.3723198175430298,-1.6752177476882935,-1.5629726648330688
2024-11-26 19:57:57.923979,0.07798018000084994,0.3940390944480896,0.3631203770637512,-1.6373955011367798,-1.5629726648330688
2024-11-26 19:57:57.926906,0.08096840200050792,0.38388365507125854,0.35219860076904297,-1.7083556652069092,-1.5629726648330688
2024-11-26 19:57:57.929946,0.08377325200035557,0.3751063346862793,0.3401198387145996,-1.5995486974716187,-1.5629726648330688
2024-11-26 19:57:57.932993,0.08687723600087338,0.36200159788131714,0.3262510299682617,-1.8203282356262207,-1.5629726648330688
2024-11-26 19:57:57.936086,0.0900777940005355,0.34610068798065186,0.31397026777267456,-1.6604100465774536,-1.5629726648330688
2024-11-26 19:57:57.939293,0.0930060720002075,0.3295375108718872,0.30231451988220215,-1.7281899452209473,-1.5629726648330688
2024-11-26 19:57:57.942194,0.09620659300071566,0.3120550513267517,0.2897002696990967,-1.8477534055709839,-1.5629726648330688
2024-11-26 19:57:57.945710,0.09909422200053086,0.2931329309940338,0.2756834328174591,-1.6502504348754883,-1.5629726648330688
2024-11-26 19:57:57.948969,0.1026066920003359,0.27015095949172974,0.261213481426239,-1.2461092472076416,-1.5629726648330688
2024-11-26 19:57:57.951932,0.10590315900026326,0.2481028437614441,0.24778060615062714,-0.19283607602119446,-1.5629726648330688
2024-11-26 19:57:57.955189,0.10889862200019707,0.22808653116226196,0.23497939109802246,0.6435369253158569,-1.5629726648330688
2024-11-26 19:57:57.958589,0.1121634040000572,0.20700925588607788,0.22187036275863647,1.7834761142730713,-1.5629726648330688
2024-11-26 19:57:57.962078,0.11605602700001327,0.18489915132522583,0.2054070234298706,1.7426327466964722,-1.5629726648330688
2024-11-26 19:57:57.965494,0.11908289800066996,0.17128857970237732,0.1939091682434082,1.740255355834961,-1.5629726648330688
2024-11-26 19:57:57.968777,0.12243231000047672,0.15626978874206543,0.18151187896728516,1.700040578842163,-1.5629726648330688
2024-11-26 19:57:57.971807,0.12572103700040316,0.14304807782173157,0.17012524604797363,1.798431634902954,-1.5629726648330688
2024-11-26 19:57:57.974943,0.12873242600016965,0.13300830125808716,0.1593259572982788,1.7455734014511108,-1.5629726648330688
