Global Time,Time,Motor 0 Position,Motor 1 Poqsition,Motor 0 Torque,Motor 1 Torque,Force
2024-11-26 15:32:07.271687,0.03736850999848684,0.38394612073898315,0.40512698888778687,-0.017205363139510155,0.0032677478156983852,idle
2024-11-26 15:32:07.282415,0.046206535000237636,0.38396692276000977,0.40513089299201965,0.0023759149480611086,-0.010695373639464378,extension
2024-11-26 15:32:07.292551,0.05595059199913521,0.3839380741119385,0.4051157832145691,-1.3274562358856201,-1.447782278060913,extension
2024-11-26 15:32:07.303072,0.06637427900022885,0.3751212954521179,0.39587700366973877,-1.8316444158554077,-1.5987673997879028,extension
2024-11-26 15:32:07.312747,0.07780221699977119,0.35663050413131714,0.37444937229156494,-1.7640873193740845,-1.6069059371948242,extension
2024-11-26 15:32:07.321150,0.08601660999920568,0.33182206749916077,0.34909823536872864,-1.765451192855835,-1.6341532468795776,extension
2024-11-26 15:32:07.329599,0.09516746000008425,0.30948692560195923,0.32562652230262756,-1.7227507829666138,-1.6215049028396606,extension
2024-11-26 15:32:07.340609,0.10606613399977505,0.28825679421424866,0.29924240708351135,-1.7083606719970703,-1.6335214376449585,extension
2024-11-26 15:32:07.345814,0.11206106799909321,0.26158407330513,0.278685599565506,-1.8144941329956055,-1.5938928127288818,extension
2024-11-26 15:32:07.350678,0.11701951099894359,0.2495557963848114,0.26615390181541443,-0.8417856097221375,-1.3519353866577148,extension
2024-11-26 15:32:07.355960,0.12212089399872639,0.24029600620269775,0.2553270757198334,-1.530086874961853,-1.6722122430801392,extension
2024-11-26 15:32:07.365527,0.12954682700001285,0.22789981961250305,0.24390791356563568,-1.861396312713623,-1.709883213043213,extension
2024-11-26 15:32:07.373566,0.13953298900014488,0.20680925250053406,0.22241050004959106,-1.8165290355682373,-1.6439090967178345,extension
2024-11-26 15:32:07.379304,0.14549099699979706,0.1911332607269287,0.20680826902389526,-1.0578999519348145,-1.204413890838623,extension
2024-11-26 15:32:07.385235,0.15117786500013608,0.1803877055644989,0.1961376667022705,-0.7582213878631592,-1.0700806379318237,extension
2024-11-26 15:32:07.391581,0.15786829900025623,0.1686137318611145,0.18444222211837769,-1.1596426963806152,-1.4045209884643555,extension
2024-11-26 15:32:07.398738,0.16393132399934984,0.15651750564575195,0.17285943031311035,-0.8945136666297913,-1.150187611579895,extension
2024-11-26 15:32:07.404424,0.1707379769995896,0.14241626858711243,0.1581716537475586,-0.8643510937690735,-1.163105845451355,extension
2024-11-26 15:32:07.409843,0.17598109699974884,0.1322142481803894,0.1475428342819214,-0.266232430934906,-0.454739511013031,extension
2024-11-26 15:32:07.417483,0.1834703249987797,0.12261801958084106,0.13761532306671143,-0.49739134311676025,-0.6718682050704956,extension
2024-11-26 15:32:07.423280,0.18928443000004336,0.10808902978897095,0.12359702587127686,-0.657811164855957,-0.893345296382904,extension
2024-11-26 15:32:07.428391,0.19458567800029414,0.09689748287200928,0.11286115646362305,-0.01587819494307041,-0.12504170835018158,extension
2024-11-26 15:32:07.436875,0.2026475019993086,0.08699877560138702,0.10256558656692505,0.10402044653892517,-0.18864667415618896,extension
2024-11-26 15:32:07.444481,0.2102841329997318,0.07134118676185608,0.08569812774658203,-0.024908246472477913,-0.49870890378952026,extension
2024-11-26 15:32:07.452976,0.21878301899960206,0.05707894265651703,0.068972647190094,0.21665582060813904,0.09462866932153702,flight
2024-11-26 15:32:07.459810,0.22573416799968982,0.04017440974712372,0.050234436988830566,0.01956956461071968,0.012275701388716698,flight
2024-11-26 15:32:07.465980,0.231751526998778,0.02731303870677948,0.036772847175598145,0.771189272403717,1.0203204154968262,flight
2024-11-26 15:32:07.476360,0.2423836529997061,0.01886570453643799,0.028543412685394287,0.868924081325531,0.8592405915260315,flight
2024-11-26 15:32:07.484053,0.24924250799995207,0.020129278302192688,0.036775290966033936,0.3321792781352997,0.25096678733825684,flight
2024-11-26 15:32:07.490046,0.2564609089986334,0.0350254625082016,0.05164891481399536,0.00557146780192852,-0.26898106932640076,flight
2024-11-26 15:32:07.494904,0.26137898299930384,0.04618184268474579,0.06143760681152344,-0.8016743063926697,-1.223015546798706,flight
2024-11-26 15:32:07.500812,0.26734937999935937,0.05336412787437439,0.06611233949661255,-1.0348860025405884,-0.94913250207901,flight
2024-11-26 15:32:07.506763,0.27304252599969914,0.055245399475097656,0.0663599967956543,-0.48234617710113525,-0.3428780138492584,flight
2024-11-26 15:32:07.512024,0.27827488699949754,0.05514226853847504,0.06214559078216553,-0.14001581072807312,-0.05434524640440941,flight
2024-11-26 15:32:07.517144,0.28351747099986824,0.054743021726608276,0.05678433179855347,-0.05650217831134796,0.06341331452131271,flight
2024-11-26 15:32:07.522546,0.288669518999086,0.050903066992759705,0.051645755767822266,-0.027864821255207062,0.45743367075920105,flight
2024-11-26 15:32:07.528316,0.2944694769994385,0.046775221824645996,0.047848522663116455,0.08989889919757843,0.3488953709602356,flight
2024-11-26 15:32:07.533602,0.29997483099941746,0.044118642807006836,0.046387553215026855,0.27838820219039917,0.223086878657341,flight
2024-11-26 15:32:07.538630,0.3050226420000399,0.04371756315231323,0.04648566246032715,0.1675533652305603,0.07872092723846436,flight
2024-11-26 15:32:07.543548,0.30982236599993485,0.04375176131725311,0.047372639179229736,0.03429902717471123,0.015515590086579323,flight
2024-11-26 15:32:07.548784,0.3151512439999351,0.043762341141700745,0.04841405153274536,0.028223220258951187,-0.050473667681217194,flight
2024-11-26 15:32:07.553985,0.3201313150002534,0.04376024007797241,0.04925328493118286,-0.010964658111333847,-0.1209532842040062,flight
