Time,Motor 0 Position,Motor 1 Poqsition,Motor 0 Torque,Motor 1 Torque,Force
2.15463810700021,0.0637764036655426,0.05807018280029297,-1.3268308639526367,-1.0197120904922485,flight
2.1589050170005066,0.06362934410572052,0.05626457929611206,-0.5044035315513611,-0.5728318095207214,flight
2.1641242770001554,0.06356196105480194,0.05682790279388428,-0.18578803539276123,-0.058080680668354034,flight
2.168045471998994,0.06734831631183624,0.061091840267181396,-0.3662286698818207,-0.4878631830215454,flight
2.1727098549999937,0.0738249123096466,0.06702214479446411,-0.8012003302574158,-0.9064100980758667,flight
2.1782483309998497,0.07785823941230774,0.07150208950042725,-1.0325947999954224,-0.9265269041061401,compression
2.1845996779993584,0.08164875209331512,0.07620960474014282,0.04658535122871399,0.022187190130352974,compression
2.1896440900000016,0.08871334791183472,0.08209306001663208,0.02312210574746132,0.006088718771934509,compression
2.1944036559998494,0.09482169151306152,0.0880616307258606,-0.009539052844047546,-0.03400752320885658,compression
2.2007308560005185,0.10171258449554443,0.09478622674942017,-0.07485951483249664,-0.05549994483590126,compression
2.207035112000085,0.10806068778038025,0.10176825523376465,-0.08068974316120148,-0.1024361252784729,compression
2.212620844999037,0.11409765481948853,0.10832130908966064,-0.10488850623369217,-0.11218313127756119,compression
2.218042915999831,0.12056839466094971,0.11450225114822388,-0.09130765497684479,-0.10374666750431061,compression
2.2239045149999583,0.12773722410202026,0.12128371000289917,-0.11915899068117142,-0.09490789473056793,compression
2.2298358709995227,0.13418203592300415,0.1279558539390564,-0.13213098049163818,-0.11155692487955093,compression
2.2350395939993177,0.14291587471961975,0.13631784915924072,-0.09020556509494781,-0.0839666947722435,compression
2.2388706429992453,0.14854201674461365,0.14165866374969482,-0.2336278110742569,-0.2593393921852112,compression
2.2440225899990764,0.15447229146957397,0.14719241857528687,-0.15135471522808075,-0.13496018946170807,compression
2.2479537469989737,0.16222041845321655,0.15496766567230225,-0.14780721068382263,-0.13428448140621185,compression
2.2526470929988136,0.16792860627174377,0.1608814001083374,-0.2875502109527588,-0.2795048654079437,compression
2.256629878998865,0.17516618967056274,0.16849792003631592,-0.11494918167591095,-0.12138078361749649,compression
2.260526537998885,0.18129441142082214,0.17451262474060059,-0.18624000251293182,-0.2539985179901123,compression
2.266557114000534,0.18900296092033386,0.18288767337799072,-0.14654351770877838,-0.1163501888513565,compression
2.2728763689992775,0.19910156726837158,0.19335287809371948,-0.19000650942325592,-0.2030906230211258,compression
2.281931956000335,0.21331503987312317,0.2071349024772644,-0.21866406500339508,-0.19103798270225525,compression
2.290648013000464,0.23003166913986206,0.22944869101047516,-0.24404768645763397,-0.19543378055095673,compression
2.296881250998922,0.2500952184200287,0.24336567521095276,-0.23911364376544952,-0.3566914200782776,compression
2.3032221920002485,0.26655498147010803,0.25871509313583374,-0.45656564831733704,-0.30890846252441406,compression
