Time,Motor 0 Position,Motor 1 Position,Motor 0 Torque,Motor 1 Torque,Force
0.0027979959995718673,0.39691275358200073,0.38208016753196716,-6.143003702163696e-06,-0.012393221259117126,idle
0.008327822000865126,0.3969106078147888,0.3820793330669403,-0.0037041623145341873,-0.0035329777747392654,extension
0.01176078500066069,0.39691162109375,0.3820801377296448,-0.951732873916626,-1.0634765625,extension
0.01615409900114173,0.3969112038612366,0.38143038749694824,-1.7660858631134033,-1.621026635169983,extension
0.02041730400014785,0.3960247039794922,0.37559351325035095,-1.8355910778045654,-1.624061942100525,extension
0.024402052000368712,0.3900022506713867,0.36918526887893677,-1.7862550020217896,-1.6592607498168945,extension
0.028765347000444308,0.38346970081329346,0.3618384897708893,-1.771925449371338,-1.6043603420257568,extension
0.032907388000239735,0.3748125433921814,0.35259097814559937,-1.7648515701293945,-1.6045154333114624,extension
0.03685908100123925,0.36488884687423706,0.3418995141983032,-1.7579337358474731,-1.6525765657424927,extension
0.04089179100083129,0.35407498478889465,0.3305310308933258,-1.8733491897583008,-1.6633003950119019,extension
0.045001313999819104,0.34244051575660706,0.31969988346099854,-1.6982382535934448,-1.6496171951293945,extension
0.04925977899983991,0.33085909485816956,0.3090360164642334,-1.932822823524475,-1.6348657608032227,extension
0.05341776400018716,0.3207581639289856,0.29848605394363403,-1.7684485912322998,-1.613451600074768,extension
0.05777759600096033,0.3094826638698578,0.2870141863822937,-1.8355419635772705,-1.6844843626022339,extension
0.06177686299997731,0.29940998554229736,0.2764979302883148,-1.844348430633545,-1.6579266786575317,extension
0.06667686900073022,0.28693822026252747,0.26435205340385437,-1.8401145935058594,-1.705126166343689,extension
0.07109638499969151,0.276589572429657,0.2547173500061035,-1.8765373229980469,-1.6390725374221802,extension
0.07600404000004346,0.2653196156024933,0.24362093210220337,-1.8416411876678467,-1.660021424293518,extension
0.08098158100074215,0.254528284072876,0.23247787356376648,-1.7971385717391968,-1.6900181770324707,extension
0.08595410400084802,0.24301010370254517,0.22090989351272583,-1.8296071290969849,-1.6283077001571655,extension
0.09035873200082278,0.23284825682640076,0.21062052249908447,-1.8268954753875732,-1.656901478767395,extension
0.09478267499980575,0.22316575050354004,0.2013782262802124,-1.759965419769287,-1.6665292978286743,extension
0.10089167400110455,0.21123254299163818,0.18951159715652466,-1.8594610691070557,-1.634148359298706,extension
0.10753314300018246,0.19840306043624878,0.17691683769226074,-1.8435437679290771,-1.6462838649749756,extension
0.11480622800081619,0.18034318089485168,0.15863728523254395,-1.8653044700622559,-1.6195411682128906,extension
0.11911789500118175,0.17127764225006104,0.14899665117263794,-0.6959986686706543,-0.34703126549720764,extension
0.12328999000055774,0.16263628005981445,0.1402941346168518,-1.128779411315918,-1.024185061454773,extension
0.12893409200114547,0.15271112322807312,0.13097435235977173,-1.0242557525634766,-0.9621136784553528,extension
0.1334720320010092,0.14117643237113953,0.11960506439208984,-1.2283271551132202,-1.1182231903076172,extension
0.1374482800001715,0.1316291093826294,0.11009371280670166,-0.6198669075965881,-0.42549192905426025,extension
0.14142295400051808,0.1239108145236969,0.10181999206542969,-0.4675979018211365,-0.33952927589416504,extension
0.14562910499989812,0.11504057049751282,0.09263992309570312,-0.6893190145492554,-0.5182746648788452,extension
0.14976173899958667,0.10527625679969788,0.08268749713897705,-0.4039117693901062,-0.32544371485710144,extension
0.15392642699953285,0.09489837288856506,0.07301926612854004,-0.2377154529094696,-0.09703534841537476,extension
0.15777436300049885,0.0843035876750946,0.0636223554611206,-0.03697049990296364,-0.0154042299836874,extension
0.16213427000002412,0.07381226122379303,0.05356025695800781,0.011347595602273941,0.009254984557628632,extension
0.16828847200122254,0.05879618227481842,0.037895262241363525,0.037267182022333145,0.026402486488223076,extension
0.17388668500097992,0.04191586375236511,0.020684421062469482,0.32875892519950867,0.5974138379096985,flight
0.17901388999962364,0.027015268802642822,0.006621956825256348,0.002787242643535137,0.004769815132021904,flight
0.18542977099968994,0.013299822807312012,-0.01028066873550415,1.1750580072402954,1.1349295377731323,flight
0.1900813009997364,0.004696175456047058,-0.010618150234222412,0.7932597398757935,0.9740398526191711,flight
0.1942692860011448,0.009953290224075317,0.0012262463569641113,0.7736737132072449,0.13231022655963898,flight
0.19911562699962815,0.02153964340686798,0.012405455112457275,-0.05228462442755699,-1.1218847036361694,flight
0.2038988580006844,0.0360213965177536,0.023722946643829346,-1.2192246913909912,-1.21077299118042,flight
0.2086589959999401,0.04224158823490143,0.030366837978363037,-1.4578553438186646,-1.0661133527755737,flight
0.21239675000106217,0.04381538927555084,0.03009885549545288,-0.8472772836685181,-0.8253027200698853,flight
0.2167668969996157,0.043713346123695374,0.025638103485107422,-0.26731565594673157,-0.09848304092884064,flight
0.22089023500120675,0.043291836977005005,0.019354045391082764,-0.1945260465145111,0.05999532714486122,flight
0.23051795399987896,0.0369693785905838,0.011833667755126953,-0.16471678018569946,0.5203327536582947,flight
0.2355475500007742,0.02476908266544342,0.0025382041931152344,0.01156681776046753,0.17335282266139984,flight
0.24087215899999137,0.02047121524810791,-0.00026112794876098633,0.8506036996841431,0.7313685417175293,flight
0.24582779299998947,0.019216686487197876,-0.0003280043601989746,0.2024717628955841,0.10083093494176865,flight
0.25043382399962866,0.019285812973976135,0.0013837814331054688,0.013646967709064484,-0.011828327551484108,flight
0.2552854429995932,0.019661515951156616,0.004798948764801025,0.006319601088762283,-0.16801069676876068,flight
0.260749418001069,0.02035471796989441,0.007547438144683838,-0.07964611798524857,-0.373250812292099,flight
